category_name,category_description,sort_order
Cleaning Supplies,Household cleaning products including soaps detergents and disinfectants,1
Cooking & Kitchen,Cooking utensils pots pans and kitchen accessories,2
Food & Groceries,Packaged foods grains and dry grocery items,3
Personal Care,Soaps shampoos lotions and personal hygiene products,4
Baby & Child,Baby care products diapers and children items,5
Health & Wellness,OTC medicines vitamins and health products,6
Stationery & Office,Pens notebooks paper and office supplies,7
Home & Bedding,Bedsheets pillows towels and home textiles,8
Electronics & Lighting,Bulbs batteries torches and small electronics,9
Hardware & Tools,Nails screws basic tools and hardware,10
Beverages,Soft drinks water juices and beverages,11
Other,Miscellaneous items not in other categories,12
